619, 268
629, 311
597, 345
589, 404
547, 440
536, 482
583, 495
617, 471
718, 628
774, 615
809, 641
865, 660
835, 700
790, 686
756, 718
718, 738
691, 772
680, 712
645, 721
601, 736
576, 707
536, 771
495, 804
502, 843
466, 854
514, 882
529, 930
567, 958
605, 942
631, 1062
640, 1000
663, 923
629, 888
578, 867
595, 806
646, 797
679, 849
700, 890
718, 847
763, 826
737, 781
777, 768
816, 745
828, 797
831, 852
897, 857
937, 862
963, 915
1049, 899
1024, 879
1021, 828
949, 819
910, 783
865, 744
901, 715
956, 714
984, 640
942, 631
916, 564
839, 581
859, 527
816, 481
779, 459
721, 467
672, 468
651, 400
706, 380
757, 382
736, 339
789, 325
768, 270
684, 290
664, 333
982, 873
1001, 774
1020, 676
