220, 1051
291, 1043
310, 785
290, 731
329, 707
318, 666
269, 674
278, 595
334, 600
400, 583
480, 559
547, 541
603, 520
644, 466
657, 502
700, 523
731, 575
754, 539
744, 499
699, 470
739, 446
780, 493
812, 471
787, 422
808, 375
823, 292
846, 254
893, 261
920, 310
872, 339
844, 385
873, 497
865, 563
823, 568
844, 623
843, 681
851, 720
887, 764
924, 750
899, 707
944, 704
1003, 705
1055, 688
1088, 662
1106, 714
1075, 753
992, 765
968, 817
926, 838
898, 889
853, 945
800, 959
744, 957
702, 984
627, 1055
641, 1017
675, 934
723, 906
710, 844
747, 800
787, 814
775, 873
814, 893
822, 841
852, 799
818, 774
808, 716
764, 742
699, 714
761, 648
706, 649
666, 669
659, 621
603, 625
562, 587
520, 575
484, 599
435, 605
384, 630
365, 678
353, 747
1032, 761
916, 963
