447, 717
404, 779
439, 818
405, 916
456, 888
497, 878
529, 837
544, 896
619, 911
599, 872
566, 825
613, 791
658, 752
701, 715
723, 751
679, 809
652, 862
690, 865
738, 865
787, 877
869, 929
817, 801
772, 817
781, 771
811, 737
753, 710
778, 669
738, 663
702, 632
660, 662
627, 689
590, 721
553, 695
540, 636
545, 585
583, 594
613, 627
655, 598
689, 569
729, 586
758, 625
807, 603
827, 639
825, 687
867, 664
876, 607
957, 571
911, 559
869, 551
825, 561
766, 544
755, 503
732, 453
645, 330
674, 386
692, 444
709, 497
679, 525
621, 555
588, 526
536, 460
523, 532
506, 562
468, 562
477, 644
907, 698
