479, 505
517, 556
565, 533
592, 498
632, 520
632, 590
603, 573
581, 612
590, 668
623, 643
640, 693
599, 725
532, 732
500, 762
525, 804
562, 786
575, 844
507, 842
525, 897
567, 929
569, 1029
601, 1009
621, 959
608, 924
642, 916
677, 934
717, 917
740, 950
738, 988
770, 930
813, 924
862, 927
839, 876
879, 866
926, 842
850, 801
887, 764
901, 719
969, 730
971, 677
1009, 654
1018, 612
980, 624
950, 584
925, 633
933, 669
893, 642
866, 686
834, 740
796, 723
807, 672
758, 682
737, 729
751, 770
714, 799
760, 825
798, 853
762, 880
719, 860
681, 880
678, 838
644, 859
627, 821
615, 780
661, 788
696, 719
704, 680
679, 634
732, 629
774, 602
818, 612
874, 609
897, 579
920, 525
876, 518
840, 466
857, 556
818, 562
789, 535
734, 556
682, 534
702, 478
645, 473
638, 409
592, 413
579, 454
538, 434
490, 423
532, 492
903, 908
