677, 516
518, 973
560, 1009
581, 1047
552, 1084
610, 1086
631, 1043
613, 1003
573, 961
618, 935
662, 947
692, 995
738, 939
763, 973
808, 987
842, 1011
886, 1008
984, 1072
969, 1031
928, 993
868, 969
837, 945
878, 877
819, 883
777, 844
720, 857
679, 854
730, 802
823, 812
852, 775
795, 763
757, 733
823, 732
865, 712
911, 696
940, 665
968, 602
1019, 589
1022, 541
963, 539
915, 596
864, 606
877, 662
834, 672
778, 671
741, 682
698, 634
763, 619
802, 630
798, 582
747, 583
701, 555
676, 589
646, 567
617, 528
570, 482
479, 447
610, 457
654, 472
703, 462
728, 417
788, 405
775, 452
769, 493
734, 519
794, 534
848, 548
886, 566
909, 521
874, 500
822, 490
843, 436
856, 394
850, 360
904, 312
920, 365
903, 417
646, 889
